Player,Inj,Likes,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,Own,FC Proj,My Proj,Exp.,Used,Con.,Value
Domantas Sabonis,,,PF/C,IND,@ ORL,23rd,115.25,9300,0,22.1,46.9,6.0,1.31,47.32,9.16,11.06,0,24.3,14.4,35.7,0.00,4%,0.00,0.00,100,,76,0
Collin Sexton,,,PG/SG,CLE,@ WAS,7th,109.75,7800,0,19.2,36.5,4.1,1.03,36.86,7.94,9.59,0,29.2,18.4,35.6,0.00,0%,0.00,0.00,100,,74,0
Myles Turner,,,C,IND,@ ORL,23rd,115.25,6300,0,19.9,31.0,1.0,1.00,36.07,9.30,9.94,0,16.5,9.2,31.0,0.00,0%,0.00,0.00,100,,68,0
Terrence Ross,,,SG/SF,ORL,vs IND,29th,110.25,6000,0,21,26.6,2.4,0.91,32.74,11.16,10.52,0,23.8,13.4,29.2,0.00,6.2%,0.00,0.00,100,,60,0
Rui Hachimura,,,PF,WAS,vs CLE,2nd,116.75,5600,0,18.4,24.5,1.5,0.78,27.93,7.89,9.21,0,18.1,11.2,31.6,0.00,0%,0.00,0.00,100,,62,0
De'Andre Hunter,,,SF,ATL,vs MIL,30th,110.25,5200,0,20.6,28.5,2.1,0.91,32.83,7.67,10.32,0,19.4,11.3,31.3,0.00,0%,0.00,0.00,100,,64,0
Michael Carter-Williams,,,PG,ORL,vs IND,29th,110.25,5200,0,18.7,22.5,4.1,0.87,31.39,10.52,9.36,0,20.3,8.7,25.8,0.00,0%,0.00,0.00,100,,58,0
Otto Porter,,,SF/PF,ORL,vs IND,29th,110.25,5000,0,21.9,21.2,2.0,0.98,35.32,11.51,10.97,0,18.4,8.1,21.6,0.00,0%,0.00,0.00,100,,48,0
James Ennis,,,SF,ORL,vs IND,29th,110.25,4800,0,16.5,18.1,1.5,0.75,26.91,10.25,8.25,0,14.0,6.1,24.2,0.00,6.4%,0.00,0.00,100,,54,0
Marvin Bagley III,,,PF/C,SAC,@ GSW,20th,112.50,4600,0,17.9,26.7,0.9,1.04,37.44,9.58,8.95,0,23.0,11.2,25.7,0.00,0%,0.00,0.00,100,,66,0
Taurean Prince,,,SF,CLE,@ WAS,7th,109.75,4400,0,19.2,19.3,1.9,0.88,31.50,10.14,9.58,0,19.9,8.0,22.0,0.00,0%,0.00,0.00,100,,50,0
Cam Reddish,,,SG,ATL,vs MIL,30th,110.25,4400,0,17,21.4,1.3,0.74,26.76,9.64,8.50,0,18.9,10.1,28.8,0.00,0%,0.00,0.00,100,,60,0
James Wiseman,,,C,GSW,vs SAC,7th,119.50,4300,0,14.9,21.6,0.7,1.01,36.29,11.50,7.46,0,24.7,9.5,21.4,0.00,0%,0.00,0.00,100,,65,0
Kent Bazemore,,,SF,GSW,vs SAC,8th,119.50,4000,0,19.4,15.8,1.6,0.87,31.32,11.46,9.68,0,16.6,5.4,18.1,0.00,0%,0.00,0.00,100,,39,0
Kelan Martin,,,SF/PF,IND,@ ORL,21st,115.25,3700,0,8.9,4.7,0.3,0.85,31.20,28.91,4.46,0,18.2,2.1,5.5,0.00,0.1%,0.00,0.00,100,,5,0
Damian Jones,,,C,SAC,@ GSW,22nd,112.50,3500,0,11.9,7.6,0.3,0.75,27.00,16.54,5.94,0,12.2,1.6,10.2,0.00,0.1%,0.00,0.00,100,,22,0
Damion Lee,,,SG/SF,GSW,vs SAC,4th,119.50,3200,0,13.4,14.4,1.3,0.76,27.41,11.10,6.71,0,12.8,4.8,19.0,0.00,0%,0.00,0.00,100,,53,0
